time-tag,ssn,ne_500,Te_500,ne_1000,Te_1000,ne_1500,Te1500,ne_2000,Te_2000,TEC
1958-01,286.7,0.30149E+12,2842.3,0.37908E+11,3370.9,0.13479E+11,3585.6,0.72600E+10,3878.6,25.8
1958-02,233.6,0.30940E+12,2836.0,0.36164E+11,3239.7,0.12548E+11,3652.6,0.66976E+10,3932.3,23.7
1958-03,270.0,0.38933E+12,2715.1,0.40397E+11,2983.9,0.13670E+11,3717.3,0.72609E+10,4008.8,27.5
1958-04,277.6,0.50806E+12,2338.2,0.48333E+11,2767.5,0.16000E+11,3667.3,0.84483E+10,3952.5,34.1
1958-05,248.2,0.55618E+12,2017.0,0.51670E+11,2865.6,0.16896E+11,3526.0,0.88739E+10,3815.8,37.0
1958-06,242.9,0.42532E+12,1888.2,0.40807E+11,2947.8,0.13353E+11,3442.7,0.69959E+10,3749.5,29.2
1958-07,271.0,0.37795E+12,1884.6,0.37720E+11,2964.9,0.12537E+11,3435.4,0.66081E+10,3751.8,27.4
1958-08,283.5,0.34595E+12,2004.1,0.36945E+11,2909.5,0.12572E+11,3500.4,0.66837E+10,3810.3,26.6
1958-09,285.1,0.37258E+12,2207.3,0.42705E+11,2788.5,0.14947E+11,3618.2,0.80384E+10,3900.5,30.4
1958-10,256.9,0.39797E+12,2390.0,0.48178E+11,2788.6,0.17306E+11,3683.8,0.94205E+10,3945.5,34.3
1958-11,215.6,0.37572E+12,2580.9,0.47120E+11,3130.6,0.17147E+11,3599.5,0.93845E+10,3896.9,33.9
1958-12,265.7,0.32949E+12,2753.1,0.40531E+11,3340.0,0.14699E+11,3564.0,0.80404E+10,3880.4,31.0
1959-01,307.7,0.28694E+12,2842.1,0.35247E+11,3370.9,0.12648E+11,3584.8,0.68700E+10,3877.9,25.5
1959-02,202.6,0.28583E+12,2836.3,0.33043E+11,3239.8,0.11631E+11,3652.5,0.62742E+10,3932.2,23.3
1959-03,263.0,0.35156E+12,2716.5,0.36754E+11,2984.4,0.12699E+11,3717.8,0.68296E+10,4009.1,27.0
1959-04,231.3,0.45195E+12,2340.0,0.43853E+11,2768.1,0.14895E+11,3667.7,0.79759E+10,3953.0,33.5
1959-05,243.6,0.47193E+12,2018.2,0.44723E+11,2879.5,0.15019E+11,3536.4,0.80020E+10,3819.1,34.7
1959-06,238.9,0.40788E+12,1888.3,0.39611E+11,2963.3,0.13282E+11,3458.6,0.70556E+10,3748.9,30.6
